SourceName,DatasetName,Description,layerName,layerParameter,Statistic,Levels,inputFile,outputFile,outputFileName,variableOfInterest,OrigLocation,MetadataLocation,StartDate,EndDate,DatabaseStore,Units,Blank
NOAA,NOAA|GPCP V2.3 Precipitation|Single Level|Monthly Mean (Surface),Global Precipitation Climatology Project monthly precipitation dataset from 1979-present combines observations and satellite precipitation data into 2.5x2.5 global grids. Monthly Mean,GPCP V2.3 Precipitation|Single Level,Precipitation,Monthly Mean,Surface,gpcp/precip.mon.mean.nc,gpcp/precip.mon.mean.csv,precip.mon.mean.csv,precip,ftp://ftp.cdc.noaa.gov/Datasets/gpcp/precip.mon.mean.nc,,1979-01-01,2017-03-01,mrsharky_noaaGpcp_precip_mon_mean,mm,
NOAA,NOAA|GPCP V2.3 Precipitation|Single Level|Monthly Error Estimate (Surface),Global Precipitation Climatology Project monthly precipitation dataset from 1979-present combines observations and satellite precipitation data into 2.5x2.5 global grids. Monthly Error Estimate,GPCP V2.3 Precipitation|Single Level,Precipitation,Monthly Error Estimate,Surface,gpcp/precip.mon.mean.error.nc,gpcp/precip.mon.mean.error.csv,precip.mon.mean.error.csv,precip,ftp://ftp.cdc.noaa.gov/Datasets/gpcp/precip.mon.mean.error.nc,,1979-01-01,2017-03-01,mrsharky_noaaGpcp_precip_mon_mean_error,mm,
NOAA,NOAA|GPCP V2.3 Precipitation|Single Level|Monthly Long Term Mean (Surface),Global Precipitation Climatology Project monthly precipitation dataset from 1979-present combines observations and satellite precipitation data into 2.5x2.5 global grids. Monthly Long Term Mean (1981-2010),GPCP V2.3 Precipitation|Single Level,Precipitation,Monthly Long Term Mean,Surface,gpcp/precip.mon.ltm.nc,gpcp/precip.mon.ltm.csv,precip.mon.ltm.csv,precip,ftp://ftp.cdc.noaa.gov/Datasets/gpcp/precip.mon.ltm.nc,,0001-01-01,0001-12-01,mrsharky_noaaGpcp_precip_mon_mean_ltm,mm,
NOAA,NOAA|GPCP V2.3 Precipitation|Single Level|Monthly Error Estimate Long Term Mean (Surface),Global Precipitation Climatology Project monthly precipitation dataset from 1979-present combines observations and satellite precipitation data into 2.5x2.5 global grids. Monthly Error Estimate Long Time Mean (1981-2010),GPCP V2.3 Precipitation|Single Level,Precipitation,Monthly Error Estimate Long Term Mean,Surface,gpcp/precip.mon.error.ltm.nc,gpcp/precip.mon.error.ltm.csv,precip.mon.error.ltm.csv,precip,ftp://ftp.cdc.noaa.gov/Datasets/gpcp/precip.mon.error.ltm.nc,,0001-01-01,0001-12-01,mrsharky_noaaGpcp_precip_mon_mean_error_ltm,mm,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature|Monthly Mean (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature,Air Temperature,Monthly Mean,1000-10mb,Monthlies/pressure/air.mon.mean.nc,Monthlies/pressure/air.mon.mean.csv,air.mon.mean.csv,air,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Monthlies/pressure/air.mon.mean.nc,,1851-01-01,2014-12-01,mrsharky_noaa20v2c_Mon_press_air_mon_mean,degK,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature|Long Term Monthly Mean (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature,Air Temperature,Long Term Monthly Mean,1000-10mb,Derived/Monthlies/pressure/air.mon.ltm.nc,Derived/Monthlies/pressure/air.mon.ltm.csv,air.mon.ltm.csv,air,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Derived/Monthlies/pressure/air.mon.ltm.nc,,0001-01-01,0001-12-01,mrsharky_noaa20v2c_Der_Mon_press_air_mon_ltm,degK,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature|Monthly Mean Ensemble Spread (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature,Air Temperature,Monthly Mean Ensemble Spread,1000-10mb,Monthlies/pressure_sprd/air.mon.mean.nc,Monthlies/pressure_sprd/air.mon.mean.csv,air.mon.mean.csv,air,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Monthlies/pressure_sprd/air.mon.mean.nc,,1851-01-01,2014-12-01,mrsharky_noaa20v2c_Mon_press_sprd_air_mon_mean,degK,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature|Long Term Monthly Mean Ensemble spread (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Air Temperature,Air Temperature,Long Term Monthly Mean Ensemble spread,1000-10mb,Derived/Monthlies/pressure_sprd/air.mon.ltm.nc,Derived/Monthlies/pressure_sprd/air.mon.ltm.csv,air.mon.ltm.csv,air,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Derived/Monthlies/pressure_sprd/air.mon.ltm.nc,,0001-01-01,0001-12-01,mrsharky_noaa20v2c_Der_Mon_press_sprd_air_mon_ltm,degK,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Geopotential Height|Monthly Mean (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Geopotential Height,Geopotential Height,Monthly Mean,1000-10mb,Monthlies/pressure/hgt.mon.mean.nc,Monthlies/pressure/hgt.mon.mean.csv,hgt.mon.mean.csv,hgt,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Monthlies/pressure/hgt.mon.mean.nc,,1851-01-01,2014-12-01,mrsharky_noaa20v2c_Mon_press_hgt_mon_mean,m,
NOAA,NOAA|NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Geopotential Height|Long Term Monthly Mean (1000-10mb),,NOAA-CIRES Twentieth Century Reanalysis (V2c)|Pressure Level|Non-Gaussian|Geopotential Height,Geopotential Height,Long Term Monthly Mean,1000-10mb,Derived/Monthlies/pressure/hgt.mon.ltm.nc,Derived/Monthlies/pressure/hgt.mon.ltm.csv,hgt.mon.ltm.csv,hgt,ftp://ftp.cdc.noaa.gov/Datasets/20thC_ReanV2c/Derived/Monthlies/pressure/hgt.mon.ltm.nc,,0001-01-01,0001-12-01,mrsharky_noaa20v2c_Der_Mon_press_hgt_mon_ltm,m,
